company_name,job_title,location,page_number,posted_time,search_keyword,technologies,years_of_experience
Quanvex,Senior Front-End Developer – React (Remote),New Assuit,2,2 months,frontend,"·, React, HTML, CSS, JavaScript, Agile, Information Technology (IT), Software Development, Web Design",
Dash Code,Senior Front-End Developer,Cairo,2,2 months,frontend,"·, CSS, HTML, Git, Information Technology (IT), Sass, JavaScript, Web Development, back-end",
Bnaia,Senior Front-End Developer,Maadi,2,2 months,frontend,"·, API, Computer Science, CSS, CSS3, Git, HTML",
Bee Informatic tecknology,Software Tester / QA Engineer,Dokki,3,1 month,software,"·, Computer Science, Testing, Information Technology (IT), SQL, Postman, Automation",
Osus Group ,Software Tester - Fully Remote Job,Cairo,3,1 month,software,"·, Quality Assurance, System Testing, Testing, Automation Testing, User Testing",
Confidential,Front End Developer,Maadi,2,,frontend,"·, APIs, CSS3, Git, HTML5, JavaScript, RESTful, Software Development, Vue.js",
RISEUP (Endemag for Administrative Skills Development),Senior web engineer lead,Nasr City,2,,frontend,"·, JavaScript, HTML, CSS, Vuex (State Management), Vue Router, Webpack, NPM / Yarn, RESTful APIs, GraphQL",
Al Ateeq Software,Senior Front End Developer,Heliopolis,2,,frontend,"·, Angular, Communication skills, Computer Science, Information Technology (IT), Software Engineering, UI/UX, Development",
Bright Creations,Fintech - Head of Engineering,Smart Village,2,,frontend,"·, Agile, back-end, Engineering, Computer Science, Management, Project Management",
WANAGG,Front-End Developer (Angular),Cairo,2,2 months,frontend,"·, Angular, Computer Science, developer, Information Technology (IT), Software Development",
Our Education,Senior PHP Developer (Laravel),Nasr City,2,9 days,frontend,"·, PHP, Computer Science, Laravel, HTML5, CSS3, MVC, Programming, javaScript",
Gahbiz.com,Web Developer,Sidi Gaber,2,,frontend,"·, API, backend, Computer Science, Development, Information Technology (IT), Js, Laravel, Node.js",
Expert Apps,Senior UI/UX Designer,Maadi,2,8 days,frontend,"·, UI, UI/UX, UX, Design, Android, Web Development, UI Design",
Holix,Full-Stack Developer (Next.js & NestJS),Cairo,2,9 days,frontend,"·, HTML5, Git, API, CSS3, React, MongoDB, SEO",
Storlytics ,Renewable Energy Engineer,Cairo,3,21 days,python,"·, English, AutoCAD, Electrical Engineering, Renewable Energy, Power, PVsyst",
Groupe- Atlantic,Assembly process Engineer,10th of Ramadan City,3,18 days,python,"·, Engineering, Mechanical Engineering, Production, Process, Manufacturing, Process Improvement, Six Sigma",
Aldabboos Group    ,Odoo Developer,Sheraton,3,17 days,python,"·, Odoo Development, Odoo, Mobile Development, REST, Software, Information Technology (IT)",
TopLine ,Senior Linux System Administrator,Cairo,3,22 days,python,"·, AWS, Computer Science, Information Technology (IT), Linux, Maintenance, SQL, System Administration",
Jessour Misr,Odoo Developer,Abu Rawash,3,22 days,python,"·, ERP, Computer Science, Information Technology (IT), Odoo, Development",
Get AI Driven,AI Solutions Architect,Cairo,3,20 days,python,"·, AI, Architecture, Computer Engineering, APIs, Computer Science, DevOps, Engineering, English, JavaScript",
My Business Care Team,Senior Developer/Manager (Full-Stack + ML Ops),Cairo,3,23 days,python,"·, AWS, Information Technology (IT), Software, Software Development, DevOps, Cloud, Lambda, EC2, DynamoDB",
My Business Care Team,AWS / Amazon Connect Specialist,Cairo,3,23 days,python,"·, AWS, Information Technology (IT), Node.js, PHP, RESTful APIs, PostgreSQL, Amazon Web Services",
Confidential,Frappe & ERPNext Developer,Riyadh,3,26 days,python,"·, jQuery, JavaScript, HTML, erpnext, CSS, Computer Science",
ECC Group,Technical Team Lead,Nasr City,3,25 days,python,"·, Computer Science, Development, Engineering, Information Technology (IT), Java, JavaScript, Management, Programming",
Global Brands,Senior AI Developer,New Cairo,3,25 days,python,"·, AWS, APIs, Information Technology (IT), Java, Software Development, Software, Computer Science",
Confidential,Full stack developer [PHP - Laravel],New Cairo,3,25 days,python,"·, Computer Science, Software Development, Information Technology (IT), Software Engineering, PHP, Software",
Aureka,Software Developer,Nasr City,3,1 month,python,"·, ASP.Net, JavaScript, Java, Software Development, HTML, Software, CSS",
Canonical,Software Engineer - Python and K8s,Riyadh,3,,python,"·, Information Technology (IT), Computer Science, Software Development, Software Engineering, Engineering, Computer Engineering, Software",
Confidential,Full Stack Engineer,Cairo,3,1 month,python,"·, Angular, React, Backend, Front End",
Lumin,Senior AI Engineer,Sheikh Zayed,1,9 days,Machine learning,"·, AI, Artificial Intelligence, Computer Vision, TensorFlow, Python, Computer Science, Programming, PyTorch",
Vijua,Back-end Developer (PHP),6th of October,2,16 days,backend,"·, PHP, Software Development, Git, Computer Science, Computer Engineering, OOP, MySQL, JavaScript",
E-Jawdah,Senior Back-End,Nasr City,2,23 days,backend,"·, PHP, Git, HTML, RESTful APIs.",
Alexandria For Programming,Asp.Net Core / Dot Net Back-end Developer - Internship,Bolkly,2,18 days,backend,"·, .Net, ASP, ASP.Net, Computer Science, C#, API, Database Design, Database, Information Technology (IT)",
"Telecom Systems Provider, LLC",Backend Developer,Maadi,2,24 days,backend,"·, CI/CD, Android, Computer Science, Software Engineering, Software, iOS, REST, Development, Information Technology (IT)",
Charisma Design,Backend Developer,Nasr City,2,28 days,backend,"·, Agile, Computer Science, API, Information Technology (IT), PHP, Laravel, Software Development",
SellAbroad,Backend Engineer,New Cairo,2,1 month,backend,"·, Node.js, APIs, Agile, NoSQL, SQL, RESTful, graphql",
Softxpert Incorporation ,Backend Developer ( PHP & Laravel ),Alexandria,2,1 month,backend,"·, Computer Science, Engineering, Information Technology (IT), Laravel, Software, Software Development, Software Engineering, PHP",
MIBA LLC,Full-Stack Developer (Front-End & Back-End),10th of Ramadan City,2,1 month,backend,"·, c++, CSS, HTML, MongoDB, Python, Node.js, JavaScript",
34ML,Cloud Infrastructure Engineer,Heliopolis,1,11 days,Machine learning,"·, Software Development, Information Technology (IT), Web Development, Computer Engineering, Software Engineering, PHP, Laravel, Image Recognition",
Quantanite,AI Engineer,Maadi,1,18 days,Machine learning,"·, AI, Algorithms, Computer Science, Information Technology (IT), Engineering, Python, Software",
Get AI Driven,AI Solutions Architect,Cairo,1,20 days,Machine learning,"·, AI, Architecture, Computer Engineering, APIs, Computer Science, DevOps, Engineering, English, JavaScript",
compsoft,AI & Software Trainer,Giza,1,25 days,Machine learning,"·, Computer Science, Information Technology (IT), Software, Software trainer, AI, Software Engineering, Big Data",
