search_keyword,page_number,job_title,company_name,location,posted_time,years_of_experience,technologies
Data engineer,1,Value Engineer,Confidential -,"Riyadh,",,,"·,Project Management,·,Cost Control,·,Primavera,·,Software,·,Construction"
Data engineer,1,"BI analyst ""Data warehouse""",Efada Technology -,"6th of October,",9 days,,"·,BI,·,Computer Science,·,Information Technology (IT),·,Oracle,·,SQL,·,PLSql"
Data engineer,1,Data Entry,engineering tracks -,"Nasr City,",,,"·,Microsoft Office,·,Administration,·,Customer Service,·,Communication,·,computer,·,English"
Data engineer,1,Firefighting & Mechanical Systems Technical Office Engineer,Confidential -,"Shorouk City,",,,"·,Firefighting,·,AutoCAD,·,Communication skills,·,Design,·,English"
Machine learning,1,AI Engineer,Quantanite -,"Maadi,",,,"·,AI,·,Algorithms,·,Computer Science,·,Information Technology (IT),·,Engineering,·,Python,·,Software"
Machine learning,1,AI Solutions Architect,Get AI Driven -,"Cairo,",,,"·,AI,·,Architecture,·,Computer Engineering,·,APIs,·,Computer Science,·,DevOps,·,Engineering,·,English,·,JavaScript"
Machine learning,1,AI & Software Trainer,compsoft -,"Giza,",13 days,,"·,Computer Science,·,Information Technology (IT),·,Software,·,Software trainer,·,AI,·,Software Engineering,·,Big Data"
Machine learning,1,IT and AI Specialiat,Green Foods -,"Cairo,",1 month,,"·,AI,·,computer,·,Computer Science,·,Information Technology (IT)"
Machine learning,1,AI Developer,Syad Tech -,"Cairo,",1 month,,"·,AI,·,software configration,·,Computer Vision,·,Computer Science,·,Information Technology (IT),·,Software Development,·,Programming"
Machine learning,1,Senior Data Analyst,Mobility Pro DMCC -,"Azarita,",1 month,,"·,Data Analysis,·,Data Science,·,Microsoft Excel,·,Power BI,·,SQL,·,Python,·,Statistics"
Machine learning,1,Senior Data Scientist,DOT Information Technology -,"New Cairo,",2 months,,"·,Information Technology (IT),·,Programming,·,NLP"
Machine learning,1,Data Science Instructor,EpsilonAI -,"Nasr City,",2 months,,"·,Data Science,·,Computer Science,·,Computer Engineering,·,Python,·,Artificial Intelligence (AI)"
Machine learning,1,Senior AI Developer,Global Brands -,"New Cairo,",13 days,,"·,AWS,·,APIs,·,Information Technology (IT),·,Python,·,Java,·,Software Development,·,Software,·,Computer Science"
Machine learning,1,Data Scientist,HYVE Technology Consulting  -,"Cairo,",10 days,,"·,Computer Science,·,Data,·,Data Science,·,data scientist,·,Engineering,·,Hadoop,·,Information Technology (IT),·,Java,·,Python"
Machine learning,1,Value-Based Healthcare Analytics Specialist,MEAHCO - Saudi German Health -,"Maadi,",,,"·,SQL,·,python development,·,SAS,·,Tableau,·,Power BI,·,QlikView,·,Microsoft Excel,·,Microsoft Azure,·,AWS"
Machine learning,1,Senior Developer/Manager (Full-Stack + ML Ops),My Business Care Team -,"Cairo,",11 days,,"·,AWS,·,Information Technology (IT),·,Software,·,Software Development,·,DevOps,·,Cloud,·,Lambda,·,EC2,·,DynamoDB"
Machine learning,1,Production Engineer,Zahranco Engineering Trade -,"Badr City,",13 days,,"·,engineer,·,Engineering,·,Manufacturing,·,Mechanical Engineering,·,Production,·,Production engineer"
Machine learning,1,SENIOR Manager - DATA ANALYTICS,Alshaya -,"Cairo,",1 month,,"·,Analysis,·,Management,·,Data"
